,Input,Output,Result
34,"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",kak gue orang jawa maaf ya gue orang palembang kakak deh belajar aksara jawa kelak belajar budaya palembang,negative
35,Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',pegawai guardian training kayak mentang mentang gue kayak kaos flat shoes dijutekin malas belinya kabur gue matahari,negative
36,\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',melukai lady menerima ganjaran seratus kali lipat sanji selamat ulang pelaut jkt48,negative
37,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,ajakan menolak berita hoaks sukseskan pilihan kepala daerah wilayah kota kediri,neutral
38,USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,presiden ri jokowi kerja nya tulus ikhlas rakyat jokowi,positive
39,Edan emang goollnya fabiano!!',tujuannya fabiano,negative
40,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',mendalami al alquran ya bang mulutnya kayak orang farhat abbas law,negative
41,"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",beda kewibawaannya berwibawa gubernur indonesia  masya allah,negative
42,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,kali lihat orang debat pilihan kepala daerah kerjanya menyerang karakter kecewa on empok silvy and agus debat final pemilihan kepala daerah jakarta,negative
43,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2   keanekaragaman budaya suku agama sesungguhnya kekayaan a djarot hadapan peserta rakercabsua,neutral
44,"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",iya islam lokalisasi kristen mas nusantaranya mas lihat gereja bandung pakai gamelan khotbah pakai bahas sunda jawa huria kristen batak protestan nusantara,negative
45,"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",ciptakan situasi keamanan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi tokoh masyarakat,neutral
46,USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,positif positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor,negative
47,"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",sembahyang mengadopsi tradisi lokal pekerjaan hindu istilah lahir tradisi ritus tunggal menyembah all,neutral
48,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,pendidikan larang bawa agama biar orang islam bayar ahok sadar memilih ahok,negative
49,"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",ahok the best abaikan kaum otak micin,negative
50,"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",sih otak tempurung meladeni lawan makan hehe,negative
51,"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",awaasss beritanya saudara gerung susah mencari kosakatanya bocor memicing mata bibir monyong kesamping suara ky nhn kentut politik kotor zaman b pulang ky nhn ngeden,negative
52,pinokio umur 3 taonan tuh. #2019GantiPresiden,pinokio umur 3 tahunan 2019 ganti presiden,neutral
53,"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",cerita silat lae kho merah muda oh indonesia liang ie shen penulis cina,neutral
54,RT USER benci sekali dgn Umat Islam,benci umat islam,negative
55,"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota mendeskripsikan kekalahan junjungannya for your information ahok pemilihan apapun kecamatan wakil etnis mayoritas,negative
56,USER dari pada gua nete',gue,negative
57,USER Lol bani lowo',wkwk lowo,negative
58,"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",takabur lahir penguasa rakyat ulama cendikia makhluk alim amp beribadah beratus ratus dilaknat hasud takaburnya ahli ilmu filsafat failosof mari demo sendi,negative
59,"A orang yang suka ke konser-konser, sedikit boros.",a orang suka konser konser boros,negative
60,[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,makan racun _ ulama hukum rokok mubah,negative
61,Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,neutral
62,"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",kali gue penggemar korea pop mengomong teman teman gue idol gue,positive
63,Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',suka video   kisah perseteruan haji bolot amp malih tongtong,neutral
64,"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",budaya bersungguh islam diindahkan,negative
65,"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",hem hem diam coba rumput bergoyang,negative
66,"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",membisikkan was was kepadamu mintalah perlindungan allah qs al a 200 fussilat 36,positive
67,USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,sibuk agama orang,negative
68,Lengserkan Jokowi Bangsat!!,lengserkan jokowi,negative
69,USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,selamat kartini 2019 ganti presiden 2019 presiden,neutral
70,"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",hati hati anak anak kamar mandi laki laki biarkan,negative
71,USER Iya cocot',iya,negative
72,USER karena budaya indonesia.,budaya indonesia,negative
73,"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",mengajarkan salat a orang memecah belah islam,negative
74,USER x || Lo ngomong aja kaga bener bangke',x berbicara,negative
75,USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,memercayai negara dijajah ranah pembubaran sistem sistem beraja negara menjadikan negara republik negara negara penjaja,negative
76,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,menikmati kebijakan diusulkan partai indonesia iya,negative
77,Kalo seumpama orang cina di usir paksa dari indonesia gimana,seumpama orang cina usir paksa indonesia,negative
78,USER bunda ngentot yuk',bunda yuk,neutral
79,RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,cina cina maling usir cina  t co 9y4hiwhjp2,negative
80,"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",karno anti beliau jawa coba deh adakan konsensus jawa anti pro kebo ohannya keliru tutup akun,negative
81,PROYEK KORUPSI REZIM SBY URL,proyek korupsi susilo bambang yudhoyono,negative
82,"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",wajar lihat tingkah petinggi negeri suka mencampur bahas indonesia bahas kali bicara,negative
83,AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,ab pribadi senang berkompetisi positif,positive
84,USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,kitab suci agama bilang om  mendadak kalap,negative
85,USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',suka menutup mata ditutup tertutup gara gara,negative
86,"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",muslim  menistakan kitab suci alquran an alquran an suku detik makna faktualnya umat islam makna tersirat fiksi,negative
87,USER eh kasar kau kampang',eh kasar,negative
88,"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",bentar gue rilis album the si wkwk,negative
89,USER Ada cebong bang dia merasa paling benar',bang,negative
90,Najis banget gw ngetwit apa barusan wey',banget gue mentwit barusan he,negative
91,Kamu transgender atau gmn anjing :( URL,,negative
92,USER awas bintitan lu ngintipin titit kucing',awas bintitan mengintip kucing,negative
93,"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",bawel bawa perasaan bolot bodor wkwk ya deh,negative
94,"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",gue menyarankan maling ayat langsung to the point orang sepaham teriaki sesat liberal pemuja dukun bla blaaa hatimu puas deh,negative
95,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,salah target ahok agenda utama lengserkan jokowi,negative
96,USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,kena tagar kepanasan banget 2019 ganti presiden,negative
97,"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",maju duit goyang kaki pape duit nak maju kat,negative
98,"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",huria kristen batak protestan berdiri pecahnya kristen katolik zaman penjajahan belanda namanya kristen protestan kristen katolik perpecahan berdirilah huria kristen batak protestan kali tarutung k,negative
99,"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",baca biar pintar jepang amerika cina utang tau,negative
100,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu,negative
101,USER USER dan yang takut dengan adzan adalah IBLIS',takut azan,negative
102,USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',tukang tipu penjilat penguasa ketahuan gerakan dibayar pakai nasi bungkus propaganda nasi bungkus gagal,negative
103,USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',sewot,negative
104,2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,2 gerakan menekankan kerja keras total tingkatkan potensi bangsa,negative
105,Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,gubernur djarot mayoritas partai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah ya,negative
106,"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",rusak memperbaiki sistemnya sibuk cari cari kesalahan ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah selesai organisasi orangnya,negative
107,"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",orang orang menuding sesungguhnya bertepuk tangan,negative
108,USER Nah loh katanya anti aseng',anti,negative
109,"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",selamat  semoga berkiprah tingkat nasional,neutral
110,#AsyikM3nang saya sih ikut ulama saja,asyik menang sih ulama,negative
111,USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,ketahui diketapang tenaga kerja perusahaan pt who tambang bauksit viral pemilihan presiden kerja era gubernur cornelis wakilnya,negative
112,USER Anak pecun... ga jauh2 dr hobi zina.. haha',anak hobi zina haha,negative
113,USER QUE BOM SBBSNSN',bom surat berharga syariah negara,negative
114,"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",istirahat presiden momentum saksi telinga mata rapat pembentukan pacitan 2003,neutral
115,"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",1979 house select committee on assassination hsca menemukan investigasi fbi warren commission hsca menyimpulkan tembakan konspirasi dalamnya,negative
116,"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",genap 1 17 april 2018 digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin,positive
117,USER Ian pantat',ian,negative
118,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",mengakuinya orang pintar beragama memangnya agama memperbolehkan menista menghujat orang orang orang maaf lahir hargai ciptaan tuhan pintar licik,negative
119,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,pendaftaran calon presiden pemilihan presiden 2019 dibuka agustus 2018 normatif politikus partai demokrasi indonesia perjuangan paham 2019 ganti presiden,neutral
120,Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,sih tau pemerintah bobrok koruptor pimpinan sidang dewan perwakilan rakyat paya,negative
121,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',gue mantan mantan gue sedih kepikiran tidur lo gue anak laki laki,negative
122,Cina perusak bangsa!! Usir !! Stuju??,cina perusak bangsa usir setuju,negative
123,#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo kelakuan otoriter,negative
124,Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,mari wujudkan pilihan kepala daerah kota bengkulu 2018 aman damai coki_adem86 98herua,neutral
125,"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,negative
126,KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam,negative
127,cowo yang jago drasex mana? sini ngentot sama adek - luvian',cowok jago drasex adik luvian,negative
128,"USER kroasia itu kapir tauuu,ngapain blajar sm kapir...udh lupa sm kapling sorga??'",kroasia tau belajar lupa kapling sorga,neutral
129,USER USER loh bukan nya mentri suharto ada yg homo?',nya menteri soeharto,negative
130,Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',gue tau takut orang berubah perlahan lahan buruk,negative
131,Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam',perang salib kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam,negative
132,"Kejar setorang memang cukup bangsad, mana rupiah turun \xf0\x9f\x98\xa5'",kejar setoran rupiah turun,negative
133,"Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Perhaps USER;",semoga tindak pelaporan penista agama adek armando langsung ketua front pembela islam kh shobri lubis badan reserse kriminal markas kepolisian republik indonesia gambir jakarta pusat selasa 10 4 13 00 indonesia barat perhaps,neutral
134,USER USER USER USER USER USER USER USER Bangke.. hajar!!!!',hajar,negative
135,USER USER USER .\nOnta mati klo kebanyakan Minum',mati kebanyakan minum,negative
136,URL Ahok tng mrka trus was-was hdpnya USER USER USER USER USER USER USER,ahok tng was was hidupnya,positive
137,Itu baru di Sul Teng.. !!!; Ini ekses akibat tersandera hutang china !!!; #2019GantiPresiden; #2019PresidenBaru ; #2019TetapJokowiGanti,sul teng ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,neutral
138,"6. Pride (Yunani; \xe1\xbd\x99\xcf\x80\xce\xb5\xcf\x81\xce\xb7\xcf\x86\xce\xb1\xce\xbd\xce\xaf\xce\xb1-hyper\xc4\x93phania) keangkuhan/harga diri/kesombongan\ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'",6 pride yunani hyper keangkuhan harga kesombongan dikenal sebutan hubris vanity harga mengubah manusia sombong kesombongan manusia dimata tuhan manusia mencintai,negative
139,"Aku bertanya tujuan pada hati\nLogikaku yg menjawab \nTapi hati tak tenang\nAku bertanya pada logika \nHatiku sedih \nKu cari jawaban dalam wasiat yg Beliau tinggalkan. \nDan aku mulai menjadi terasing dan asing di mata manusia. \nTak apa duhai diri, ada",tujuan hati logikaku hati tenang logika hatiku sedih ku cari wasiat beliau tinggalkan terasing mata manusia duhai,negative
140,USER Tak hanya kurang bertaji nya kpk era ini...tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era Pak sby....,bertaji nya komisi pemberantasan korupsi era era komitmen pemberantasan korupsi surat pemberitahuan tahunan era susilo bambang yudhoyono,negative
141,RT USER: Admin tolol di partai tolol\nPartai Tolol untuk orang Tolol',admin partai partai orang,negative
142,"RT USER: Ayu Ting Ting Goyang Hot Dekat Raffi Ahmad, Nagita Slavina: Kampungan, Norak URL",ayu ting ting goyang hot raffi ahmad nagita slavina norak,negative
143,Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di USER,video tenaga kerja malaysia mengutip pernyataan,negative
144,PPP: Jangan Buru-buru Tolak Wacana Pilkada LewatÂ DPRD,ppp buru buru tolak wacana pilihan kepala daerah lewata dewan perwakilan rakyat daerah,neutral
145,"Random pagi2 ada Bapak2 nyamperin ke meja kerja trus nanya ""pake bedak apa sih biar mukanya bersih, istri saya butek soalnya""\nIngin ku jawab pake air wudhu tapi ku Kristen.'",random pagi pagi menyamper meja kerja pakai bedak sih biar mukanya bersih istri butek ku pakai air wudhu ku kristen,negative
146,USER USER KO GUA KAMPRET',gue,negative
147,Memek lonte pengen disodok kontol gede',disodok gede,negative
